NO_KASUS,TAHUN,REGISTER,AGENDA_KE,AGENDA_RAW
2933,2019,032/VII/KIP-PS/2019,1,31/03/2021 (Pemeriksaan Awal)
2933,2019,032/VII/KIP-PS/2019,2,2021-06-14 00:00:00
2933,2019,032/VII/KIP-PS/2019,3,2021-06-18 00:00:00
2933,2019,032/VII/KIP-PS/2019,4,2021-06-28 00:00:00
2933,2019,032/VII/KIP-PS/2019,5,10 Agustus 2021 (Pembacaan Putusan)
2934,2019,035/VIII/KIP-PS/2019,1,2021-06-04 00:00:00
2934,2019,035/VIII/KIP-PS/2019,2,2021-06-15 00:00:00
2934,2019,035/VIII/KIP-PS/2019,3,25/06/2021 (Mediasi I)
2934,2019,035/VIII/KIP-PS/2019,4,5 Juli 2021 ( Mediasi II)
2934,2019,035/VIII/KIP-PS/2019,5,26 Juli 2021 (Mediasi III)
2934,2019,035/VIII/KIP-PS/2019,6,02 Agustus 2021 (pembacaan Putusan)
2935,2019,036/VIII/KIP-PS/2019,1,2021-03-30 00:00:00
2935,2019,036/VIII/KIP-PS/2019,2,2021-06-15 00:00:00
2935,2019,036/VIII/KIP-PS/2019,3,2021-10-22 00:00:00
2935,2019,036/VIII/KIP-PS/2019,4,11/01/2022 (LANJUTAN)
2935,2019,036/VIII/KIP-PS/2019,5,14 Januari 2022 (Pembacaan Putusan Sela)
2936,2019,037/VIII/KIP-PS/2019,1,2021-03-30 00:00:00
2936,2019,037/VIII/KIP-PS/2019,2,2021-06-15 00:00:00
2936,2019,037/VIII/KIP-PS/2019,3,2021-10-22 00:00:00
2936,2019,037/VIII/KIP-PS/2019,4,11/01/2022 (Pemeriksaan Tertutup)
2936,2019,037/VIII/KIP-PS/2019,5,29/03/2022 (Pembacaan Putusan)
2937,2019,038/VIII/KIP-PS/2019,1,2019-10-31 00:00:00
2937,2019,038/VIII/KIP-PS/2019,2,2020-01-14 00:00:00
2937,2019,038/VIII/KIP-PS/2019,3,21/01/2020 (Putusan)
2938,2019,039/VIII/KIP-PS/2019,1,28/09/2021 (Pemeriksaan Awal)
2938,2019,039/VIII/KIP-PS/2019,2,2021-10-07 00:00:00
2938,2019,039/VIII/KIP-PS/2019,3,18/10/2021 2021
2938,2019,039/VIII/KIP-PS/2019,4,2021-11-17 00:00:00
2938,2019,039/VIII/KIP-PS/2019,5,20/01/2022 (Pembacaan Putusan)
2939,2019,040/IX/KIP-PS/2019,1,"30/03/2021 (Sidang Awal, Penetapan Pencabutan)"
2940,2019,041/IX/KIP-PS/2019,1,10-10-2022 (Putusan Gugur)
2941,2019,042/IX/KIP-PS/2019,1,06/07/2022 (Sidang Pemeriksaan Awal 1)
2941,2019,042/IX/KIP-PS/2019,2,15/07/2022 (Pembacaan Penetapan Pencabutan)
2942,2019,043/IX/KIP-PS/2019,1,6 Oktober 2021 (Pemeriksaan Awal)
2942,2019,043/IX/KIP-PS/2019,2,2021-11-10 00:00:00
2942,2019,043/IX/KIP-PS/2019,3,12 November 2021 (pembacaan Putusan)
2943,2019,044/IX/KIP-PS/2019,1,2023-02-01 00:00:00
2943,2019,044/IX/KIP-PS/2019,2,2023-02-21 00:00:00
2943,2019,044/IX/KIP-PS/2019,3,2023-02-28 00:00:00
2943,2019,044/IX/KIP-PS/2019,4,13/03/2023 (MEDIASI I)
2943,2019,044/IX/KIP-PS/2019,5,29/03/2023 (MEDIASI II)
2943,2019,044/IX/KIP-PS/2019,6,2023-05-30 00:00:00
2943,2019,044/IX/KIP-PS/2019,7,03/07/2023 (PEMBUKTIAN)
2943,2019,044/IX/KIP-PS/2019,8,2023-07-10 00:00:00
2944,2019,045/IX/KIP-PS/2019,1,"10/03/2020	21/07/2020 (online)	29/07/2020 (Pembacaan Putusan/Online)
"
2946,2019,047/IX/KIP-PS/2019,1,2020-03-16 00:00:00
2946,2019,047/IX/KIP-PS/2019,2,12/06/2020 (sidang online)
2946,2019,047/IX/KIP-PS/2019,3,08/072020 (MEDIASI I)
2946,2019,047/IX/KIP-PS/2019,4,22/07/2020 (Mediasi II)
2946,2019,047/IX/KIP-PS/2019,5,30/07/2020 (Pembacan Putusan) ONLINE
2947,2019,048/X/KIP-PS/2019,1,17/112/2020 (PEMERIKSAAN AWAL)
2947,2019,048/X/KIP-PS/2019,2,15/01/2021 (Pemeriksaan II)
2947,2019,048/X/KIP-PS/2019,3,25/01/2021 (MEDIASI I Sepakat Mediasi)
2947,2019,048/X/KIP-PS/2019,4,26/01/2021 (Pembacaan Putusan Mediasi)
2950,2019,051/X/KIP-PS/2019,1,28 September 2021 ( Pemeriksaan Awal)
2950,2019,051/X/KIP-PS/2019,2,1 Oktober 2021 (Pembacaan Putusan Sela)
2951,2019,052/X/KIP-PS/2019,1,2020-03-10 00:00:00
2951,2019,052/X/KIP-PS/2019,2,2020-07-16 00:00:00
2951,2019,052/X/KIP-PS/2019,3,22/07/2020 (online) P.Putusan
2953,2019,054/XI/KIP-PS/2019,1,2021-03-25 00:00:00
2953,2019,054/XI/KIP-PS/2019,2,2021-03-31 00:00:00
2953,2019,054/XI/KIP-PS/2019,3,2021-05-20 00:00:00
2953,2019,054/XI/KIP-PS/2019,4,2021-05-27 00:00:00
2953,2019,054/XI/KIP-PS/2019,5,23/06/2021 (Putusan)
2954,2019,055/XI/KIP-PS/2019,1,25/08/2025 (Pemeriksaan Awal)
2954,2019,055/XI/KIP-PS/2019,2,08 September 2025 (Pemeriksaan awal II)
2955,2019,056/XI/KIP-PS/2019,1,04/07/2022 (Sidang Pemeriksaan Awal 1)
2955,2019,056/XI/KIP-PS/2019,2,2022-07-12 00:00:00
2955,2019,056/XI/KIP-PS/2019,3,20/07/2022 (Mediasi I)
2955,2019,056/XI/KIP-PS/2019,4,08/08/2022 (Pembacaan Putusan Mediasi)
2956,2019,057/XI/KIP-PS/2019,1,04/07/2022 (Sidang Pemeriksaan Awal 1)
2956,2019,057/XI/KIP-PS/2019,2,2022-07-12 00:00:00
2956,2019,057/XI/KIP-PS/2019,3,2022-07-20 00:00:00
2956,2019,057/XI/KIP-PS/2019,4,2022-08-08 00:00:00
2956,2019,057/XI/KIP-PS/2019,5,19/08/2022 (Mediasi 1)
2956,2019,057/XI/KIP-PS/2019,6,29/08/2022 (Mediasi Gagal)
2956,2019,057/XI/KIP-PS/2019,7,2022-10-04 00:00:00
2956,2019,057/XI/KIP-PS/2019,8,2022-11-14 00:00:00
2957,2019,058/XI/KIP-PS/2019,1,04/07/2022 (Sidang Pemeriksaan Awal 1)
2957,2019,058/XI/KIP-PS/2019,2,2022-07-12 00:00:00
2957,2019,058/XI/KIP-PS/2019,3,2022-07-20 00:00:00
2957,2019,058/XI/KIP-PS/2019,4,2022-08-08 00:00:00
2957,2019,058/XI/KIP-PS/2019,5,30/08/2022 (Mediasi Gagal)
2957,2019,058/XI/KIP-PS/2019,6,2022-10-04 00:00:00
2957,2019,058/XI/KIP-PS/2019,7,2022-11-14 00:00:00
2957,2019,058/XI/KIP-PS/2019,8,29 Agustus 2023 (Pembacaan Putusan)
2958,2019,059/XI/KIP-PS/2019,1,17/12/2020 (PEMERIKSAAN AWAL)
2958,2019,059/XI/KIP-PS/2019,2,19/01/2021 (Pemeriksaan Lanjutan)
2958,2019,059/XI/KIP-PS/2019,3,25/01/2021 (MEDIASI I)
2958,2019,059/XI/KIP-PS/2019,4,05/02/2021 (MEDIASI II)
2958,2019,059/XI/KIP-PS/2019,5,23/02/2021 (Sidang Pemeriksaan Lanjutan)
2958,2019,059/XI/KIP-PS/2019,6,09/03/2021 (Pemeriksaan Tertutup)
2958,2019,059/XI/KIP-PS/2019,7,25 Mei 2021 (Pembacaan putusan)
2959,2019,060/XII/KIP-PS/2019,1,18/12/2020 (PEMERIKSAAN AWAL)
2959,2019,060/XII/KIP-PS/2019,2,08/1/2021 (SIDANG LANJUTAN)
2959,2019,060/XII/KIP-PS/2019,3,2021-01-25 00:00:00
2959,2019,060/XII/KIP-PS/2019,4,02/02/2021 (SIDANG TERTUTUP)
2959,2019,060/XII/KIP-PS/2019,5,2021-02-24 00:00:00
2959,2019,060/XII/KIP-PS/2019,6,2021-03-04 00:00:00
2959,2019,060/XII/KIP-PS/2019,7,2021-05-20 00:00:00
